record_type,model,suite,configuration,task,episodes,successes,failures,episode_errors,success_rate_pct,avg_steps,avg_policy_calls,avg_reuses,keyframes,median_reusable_tokens,thresholds_or_collection,gpu,slurm_job,status,validity,remarks
diagnostic,UniVLA,SimplerEnv WidowX,temporal_fusion_task_aware (original run),all four tasks,200,96,104,81,48,22.53,4.71,0,attention relevance requested; manual attention path,RTX 5090,legacy run,completed with errors,INVALID,81 episodes failed with CUDA out of memory and were counted as false; do not use this 48 percent as the task-aware result.
rerun,UniVLA,SimplerEnv WidowX,temporal_fusion_task_aware,widowx_put_eggplant_in_basket,50,50,0,0,100,27,5.8,0,100,196.5,fusion_collect_relevance=true; attention backend=sdpa; reuse thresholds retained,RTX PRO 6000,150640,completed,VALID,All 50 episodes rolled out normally with no CUDA OOM or other episode errors.
rerun,UniVLA,SimplerEnv WidowX,temporal_fusion_task_aware,widowx_stack_cube,50,34,16,0,68,36.18,7.54,0,138,191,fusion_collect_relevance=true; attention backend=sdpa; reuse thresholds retained,RTX PRO 6000,150641,completed,VALID,All 50 episodes rolled out normally; the 16 failures are task outcomes at the rollout limit rather than infrastructure errors.
aggregate,UniVLA,SimplerEnv WidowX,temporal_fusion_task_aware,all four tasks,200,164,36,0,82,31.6,6.6849999999999996,0,fusion relevance collected on repaired shards; 50 episodes per task,RTX PRO 6000,150640+150641,completed,VALID,Corrected aggregate combines the repaired eggplant and stack shards with the unaffected carrot and spoon shards.
diagnostic,CronusVLA,SimplerEnv WidowX,guarded_reuse_moderate (original run),all four tasks,200,72,128,0,36,49.734999999999999,49.71,2.5000000000000001E-2,frame MAE=0.01; local patch MAE=0.03; action cosine=0.995; translation norm=0.01; max consecutive=1,RTX 5090,legacy run,completed,INVALID FOR MODERATE CLAIM,Moderate was recorded with strict thresholds; it must not be reported as the moderate preset.
existing,CronusVLA,SimplerEnv WidowX,guarded_reuse_strict,all four tasks,200,72,128,0,36,49.734999999999999,49.71,2.5000000000000001E-2,frame MAE=0.01; local patch MAE=0.03; action cosine=0.995; translation norm=0.01; max consecutive=1,RTX 5090,existing run,completed,VALID,Strict thresholds were already correct; no rerun was required.
rerun,CronusVLA,SimplerEnv WidowX,guarded_reuse_moderate,widowx_spoon_on_towel,50,17,33,0,34,51.76,51.52,0.24,frame MAE=0.015; local patch MAE=0.04; action cosine=0.99; translation norm=0.01; max consecutive=1,RTX PRO 6000,150648,completed,VALID,Correct moderate thresholds were passed explicitly.
rerun,CronusVLA,SimplerEnv WidowX,guarded_reuse_moderate,widowx_carrot_on_plate,50,7,43,0,14,57.84,57.62,0.22,frame MAE=0.015; local patch MAE=0.04; action cosine=0.99; translation norm=0.01; max consecutive=1,RTX PRO 6000,150648,completed,VALID,Correct moderate thresholds were passed explicitly.
rerun,CronusVLA,SimplerEnv WidowX,guarded_reuse_moderate,widowx_stack_cube,50,0,50,0,0,60,59.9,0.1,frame MAE=0.015; local patch MAE=0.04; action cosine=0.99; translation norm=0.01; max consecutive=1,RTX PRO 6000,150648,completed,VALID,Correct moderate thresholds were passed explicitly; all episodes reached the task limit without success.
rerun,CronusVLA,SimplerEnv WidowX,guarded_reuse_moderate,widowx_put_eggplant_in_basket,50,47,3,0,94,34.82,34.82,0,frame MAE=0.015; local patch MAE=0.04; action cosine=0.99; translation norm=0.01; max consecutive=1,RTX PRO 6000,150648,completed,VALID,Correct moderate thresholds were passed explicitly.
aggregate,CronusVLA,SimplerEnv WidowX,guarded_reuse_moderate,all four tasks,200,71,129,0,35.5,51.104999999999997,50.965000000000003,0.14000000000000001,frame MAE=0.015; local patch MAE=0.04; action cosine=0.99; translation norm=0.01; max consecutive=1,RTX PRO 6000,150648,completed,VALID,This is the corrected moderate result and replaces the strict-threshold artifact.
rerun,CronusVLA,SimplerEnv WidowX,guarded_reuse_aggressive,widowx_spoon_on_towel,50,17,33,0,34,51.58,50.44,1.1399999999999999,frame MAE=0.02; local patch MAE=0.05; action cosine=0.98; translation norm=0.01; max consecutive=2,RTX PRO 6000,150648,completed,VALID,Correct aggressive thresholds were passed explicitly.
rerun,CronusVLA,SimplerEnv WidowX,guarded_reuse_aggressive,widowx_carrot_on_plate,50,6,44,0,12,57.78,55.84,1.94,frame MAE=0.02; local patch MAE=0.05; action cosine=0.98; translation norm=0.01; max consecutive=2,RTX PRO 6000,150648,completed,VALID,Correct aggressive thresholds were passed explicitly.
rerun,CronusVLA,SimplerEnv WidowX,guarded_reuse_aggressive,widowx_stack_cube,50,0,50,0,0,60,59.38,0.62,frame MAE=0.02; local patch MAE=0.05; action cosine=0.98; translation norm=0.01; max consecutive=2,RTX PRO 6000,150648,completed,VALID,Correct aggressive thresholds were passed explicitly; all episodes reached the task limit without success.
rerun,CronusVLA,SimplerEnv WidowX,guarded_reuse_aggressive,widowx_put_eggplant_in_basket,50,49,1,0,98,30.54,30.5,0.04,frame MAE=0.02; local patch MAE=0.05; action cosine=0.98; translation norm=0.01; max consecutive=2,RTX PRO 6000,150648,completed,VALID,Correct aggressive thresholds were passed explicitly.
aggregate,CronusVLA,SimplerEnv WidowX,guarded_reuse_aggressive,all four tasks,200,72,128,0,36,49.975000000000001,49.04,0.93500000000000005,frame MAE=0.02; local patch MAE=0.05; action cosine=0.98; translation norm=0.01; max consecutive=2,RTX PRO 6000,150648,completed,VALID,This is the corrected aggressive result; it differs from strict reuse behavior in reuse counts even though aggregate success is also 36 percent.
finding,CogACT,SimplerEnv WidowX,temporal_fusion_motion_entropy,all four tasks,200,116,84,0,58,47.41,47.41,0,3200,108,task relevance unsupported,existing GPU run,existing artifact,completed,VALID BASELINE,This is one of the two effective CogACT fusion computations.
finding,CogACT,SimplerEnv WidowX,temporal_fusion_task_aware,all four tasks,200,116,84,0,58,47.41,47.41,0,3200,108,task_relevance_supported=false,existing GPU run,existing artifact,completed,VALID AS DUPLICATE ONLY,Task-aware matches motion-entropy in successes; steps; keyframes; reusable tokens; and only differs by latency noise. Footnote it as unsupported rather than a third distinct setting.
finding,CogACT,SimplerEnv Google Robot Fractal,temporal_fusion_task_aware,all five tasks,250,162,88,0,64.8,3200,107.4,task_relevance_supported=false,existing GPU run,existing artifact,completed,VALID AS DUPLICATE ONLY,Every Fractal task summary also reports unsupported task relevance; the nominal task-aware setting should not be counted as an independent computation.
